,file_name,sine_wave,sine_freq,square_wave,square_freq,saw_wave,saw_freq,triangle_wave,triangle_freq,note,octave,note_octave,attack_duration,decay_duration,sustain_level,sustain_duration,release_duration
0,multi_G♯6_1,1,1638.838913325294,1,1640.307017701216,1,1656.8044219635747,1,1664.1586779953275,G♯,6,G♯6,1.2670695343715304,2.2322183713277672,0.3709599766845646,3.718840559200311,0.6100214256517228
1,multi_D2_2,0,0,0,0,0,0,1,73.2589470755649,D,2,D2,1.3747538868553097,4.620323317161936,0.9629092283458554,3.3381723092417923,0.6667504867409622
2,multi_G♯7_3,0,0,0,0,0,0,1,3372.876337507064,G♯,7,G♯7,2.6826745578349516,2.6729618863591558,0.08622792474328389,1.64365138069688,3.0007121751090127
3,multi_A2_4,0,0,0,0,0,0,1,111.48313673795245,A,2,A2,0.7879842891658234,0.8060687331858019,0.2858424268957872,1.7129643547512052,2.3603310773558905
4,multi_G♯7_5,1,3368.208179646391,1,3329.405193538486,1,3349.358188323249,1,3291.9649962811823,G♯,7,G♯7,1.5237680123704687,2.817253071604137,0.9171751899509428,2.985630351827241,2.673348564198153
5,multi_C2_6,1,65.725834109179,1,65.15222456845015,1,64.91857238028376,1,64.70850520660179,C,2,C2,0.22467823479652815,2.654962181151911,0.4330433776451851,3.690952961768176,3.429406622283384
6,multi_C♯7_7,1,2260.7256683260825,1,2189.5916687908193,1,2238.0956758687203,1,2185.3610812772595,C♯,7,C♯7,1.8292392180412365,3.7340562683648852,0.3159497917650381,0.06912915629363414,2.0657801687983985
7,multi_C♯2_8,1,70.56521911709368,1,68.32123149157516,1,68.77805106759541,1,70.6616549848367,C♯,2,C♯2,1.5080768012940786,0.5059520406307388,0.5843914919925847,1.7567644921485708,3.6950011857088954
8,multi_D8_9,0,0,1,4726.161309887681,0,0,0,0,D,8,D8,2.3231384216794853,4.200926443068964,0.6855755709750806,3.242002450370692,0.23393268488085844
9,multi_F9_10,1,11280.401379798112,1,11288.486107231203,1,11009.417234645565,1,11279.14689159058,F,9,F9,1.9888251777402717,3.3602994566987845,0.6180353541293555,3.4500573275601827,1.2008180380007618
10,multi_D4_11,0,0,1,297.0125862881287,0,0,1,290.8066033050688,D,4,D4,3.4466870639532967,0.15641725144384055,0.011317588295830405,0.36088886155013267,3.3412797595957926
11,multi_D8_12,1,4737.201361781302,1,4717.58253790512,0,0,1,4679.712427444046,D,8,D8,2.692476126503606,0.7981657889719003,0.29011596605558276,3.4870379797913693,3.022320104733125
12,multi_D♯2_13,1,76.32512396253794,0,0,1,79.16526077788538,1,77.0106631226894,D♯,2,D♯2,2.0546185019827576,4.138712326763915,0.5870163596962544,0.01831293555069579,3.7883562357026315
13,multi_E6_14,0,0,0,0,1,1294.0979385468092,0,0,E,6,E6,2.5952821185488864,2.16076988550984,0.7701942218281063,3.260653814901073,1.3324439965562789
14,multi_A5_15,1,893.059872408625,0,0,1,877.4195842381794,0,0,A,5,A5,1.5324371120105567,1.4292526078493442,0.19025307517329781,3.574368723964157,3.463941556175943
15,multi_G♯9_16,1,13274.641444034425,1,13219.907070019375,1,13219.010246871148,0,0,G♯,9,G♯9,3.228813857600286,2.1540183378952986,0.6786365535139218,2.760610498993611,1.8565573055108044
16,multi_A♯7_17,0,0,1,3801.102502779201,0,0,1,3764.8636668093222,A♯,7,A♯7,1.9221558644751835,1.2586110907313768,0.20123026891955842,1.2561536480874647,0.6505366800709744
17,multi_G♯7_18,1,3302.1166238055052,0,0,1,3257.74342218581,0,0,G♯,7,G♯7,3.453757203107124,1.352803710809722,0.39852313315550514,2.705703801593062,2.4877352844900935
18,multi_C7_19,1,2088.1076549585323,0,0,1,2134.6647806602605,1,2053.655623934478,C,7,C7,3.733423562874212,2.0901496998857456,0.3939428588440924,1.4425437393847351,2.7338829978553076
19,multi_F♯1_20,0,0,1,46.802271320728686,1,45.633368039283994,1,45.436606133823034,F♯,1,F♯1,3.2121647168519103,2.63317989248798,0.6528043939649696,2.7301954929663195,1.4244598976937901
20,multi_D6_21,1,1163.8099563256492,1,1182.8138830417654,1,1190.6993715196159,1,1157.850692480044,D,6,D6,2.374137920952048,2.6171361908790183,0.6871571875454533,2.582476019728284,2.426249868440651
21,multi_D♯4_22,0,0,0,0,0,0,1,312.78165967516605,D♯,4,D♯4,2.5808741283975163,0.7153932245377115,0.8927056995623828,1.7321591636436395,2.05979586779966
22,multi_B2_23,1,123.11516993157205,1,124.00311055026262,1,121.79238133276775,1,121.1253857660243,B,2,B2,3.3260821682046133,2.884514986664807,0.3592862461994447,2.2101312536822526,1.579271591448327
23,multi_G♯2_24,1,103.5689516721582,1,105.34540142077732,1,104.77794236710034,1,104.19320985640212,G♯,2,G♯2,0.7578460855067454,1.2478817036906442,0.41051619967820796,2.055844341762371,3.9174723142488515
24,multi_B8_25,1,7946.1884608817745,1,8005.801715729654,1,7992.178711356467,1,7768.083557217843,B,8,B8,3.0182356965246555,2.5426167028560807,0.30586065887920844,1.3245652895767859,3.114582311042478
25,multi_G1_26,1,49.04669254271458,1,48.665484866212324,0,0,0,0,G,1,G1,2.7131822477749235,3.9249919254718577,0.5110980630631522,0.7094740428373653,1.5518765030278074
26,multi_F5_27,0,0,1,690.8009430583692,0,0,1,697.2405128532646,F,5,F5,2.0792667254651556,1.5362666470312487,0.4252552504867786,2.9078740977409234,3.476592529762671
27,multi_E1_28,1,40.395224119786036,1,41.65753043145798,1,41.6086391284564,1,41.064502657207356,E,1,E1,1.4973139055270965,3.981694386899002,0.9758609249089207,3.1151719845685775,1.405819723005324
28,multi_C♯7_29,1,2173.9987445509387,1,2244.816551347168,1,2236.3085087964387,0,0,C♯,7,C♯7,3.143516433390881,0.6055820252034316,0.15868090042609628,0.6296647351983786,0.7255987962229188
29,multi_F♯4_30,1,366.56664062184706,1,365.2732435662553,1,367.5416211201178,1,369.0666530910921,F♯,4,F♯4,1.1188690486839958,0.29646844786470394,0.8283156505362835,4.678514393799929,0.3902395589219343
30,multi_F♯4_31,0,0,0,0,1,371.29132961487653,0,0,F♯,4,F♯4,0.9742084532189937,0.9422557589928271,0.027230914582170196,1.9907603457343481,3.5493623236616907
31,multi_A1_32,0,0,0,0,1,55.46674357885637,0,0,A,1,A1,1.6589534871649003,1.1817036583632778,0.9180458525931726,3.7842054552217324,1.5351498276999642
32,multi_B3_33,1,250.77261649088402,1,248.96886618797834,1,251.24525873327386,1,245.8161406133106,B,3,B3,2.9646004254052536,3.4504983576193595,0.7765133393958019,0.7822919677457223,2.8026092492296635
33,multi_F3_34,0,0,1,172.96322455207897,1,171.35063194124302,1,176.3783272908129,F,3,F3,1.981673348850956,0.7096866575087163,0.5139598660017817,0.6205148454832937,1.1390846150012894
34,multi_D♯3_35,0,0,0,0,1,153.2145734629345,0,0,D♯,3,D♯3,2.0538677071603635,2.0999784119789546,0.2938818935441545,2.033152929051447,3.813000951809234
35,multi_C♯8_36,1,4481.24339499765,1,4400.641735905508,1,4407.935806238191,1,4369.600144653285,C♯,8,C♯8,2.908387482922337,3.0512284276330655,0.8021758479342742,2.0773735709887213,1.9630105184558762
36,multi_D♯8_37,1,5012.284400507105,1,4987.862662595855,1,4885.8877994686045,1,4960.732268568861,D♯,8,D♯8,1.7961049531062394,2.6979832470978122,0.9376163440783536,2.605759597117098,1.8214005491958747
37,multi_D4_38,1,298.1682369033783,1,294.9509581715519,0,0,0,0,D,4,D4,1.644169676742634,2.52097366168056,0.2678883694740808,3.177001932335637,0.1951855682873882
38,multi_E9_39,1,10621.983283429165,1,10354.154988092716,0,0,0,0,E,9,E9,3.0480176708109394,3.4935815853930556,0.6206050381417757,0.001041284116684291,3.4573594596793207
39,multi_G♯4_40,1,409.5902893311776,0,0,0,0,1,408.849202976225,G♯,4,G♯4,0.034515034022951085,3.897977897795589,0.34715903357215816,2.400027634057486,0.8857975453496802
40,multi_B9_41,1,15863.982371481437,0,0,1,15532.615005698335,1,15896.874377584605,B,9,B9,3.5541064044787483,0.4152270761639648,0.5656660823977114,1.1932784595464878,0.4685114246809602
41,multi_C6_42,0,0,0,0,0,0,1,1056.2471510808807,C,6,C6,2.0183625549909063,0.7611051182638384,0.34976594131283845,1.9261622106710856,1.3981159119089566
42,multi_F♯6_43,1,1450.418753710573,0,0,1,1458.566613877512,0,0,F♯,6,F♯6,2.366178617206895,3.73503751757351,0.6546343005170029,0.16242349691690094,3.736360368302694
43,multi_A6_44,1,1794.1859651771797,1,1729.7788957183543,1,1735.8397671700545,1,1732.5427920159027,A,6,A6,0.7204607660373706,3.4817708851040923,0.5272851958324369,2.9918270257430533,2.805941323115484
44,multi_G4_45,1,387.19101820380223,1,393.2943467420926,0,0,1,389.66252913136645,G,4,G4,0.5546551228395685,3.5359355418927314,0.2734265122570114,2.4535808086504014,0.7686487977204903
45,multi_A3_46,0,0,0,0,1,221.1313850097352,0,0,A,3,A3,0.7284980633165482,3.385948255100769,0.9732471414567894,2.8637554596432597,3.021798221939422
46,multi_D♯5_47,1,614.9837973282597,1,613.3503911099334,1,629.0025612190035,1,619.0569068782974,D♯,5,D♯5,1.981467603443599,0.04674399478530877,0.8624082202394024,1.419105583739369,2.932465537230546
47,multi_A4_48,1,445.2896100178862,1,433.9224006129357,1,444.77876429682743,0,0,A,4,A4,2.0743563763205954,3.6584305405876636,0.3462671992625934,0.6643136456498676,3.6028994374418737
48,multi_F1_49,1,43.341561490125045,1,42.94123385112717,1,43.131013533252336,1,43.31136727465126,F,1,F1,2.359137420169932,0.6870387841496162,0.11670095787577628,4.97960050651812,0.32144502187152146
49,multi_C♯2_50,1,69.54677434894869,1,68.85115426823958,1,69.70627514427697,1,70.03370857480878,C♯,2,C♯2,3.148726072443644,0.6108060091696262,0.7243743316462793,2.9527662375379538,3.2877016808487762
50,multi_G♯6_51,1,1680.4729308701371,1,1669.9975055566476,0,0,1,1672.3876988973577,G♯,6,G♯6,4.097132287377575,2.506652054284376,0.8742735163191533,2.5272645170187444,0.8689511413193043
51,multi_B1_52,0,0,0,0,1,61.131925557215325,1,61.45321405090252,B,1,B1,0.7021224515479324,0.035372922742982205,0.8950232990332242,1.4350320996895731,0.8022754056171372
52,multi_A2_53,1,110.63591697997751,1,108.22193159959835,0,0,0,0,A,2,A2,1.56627599328707,3.9553216715420376,0.41235842914965615,2.2008515625108496,1.100473638305931
53,multi_G♯2_54,1,102.50839743201796,1,103.79702153261755,1,101.93179114139204,1,103.13838283270759,G♯,2,G♯2,3.1532598621543206,0.5912755955197518,0.49908740038288024,1.7224838396117503,1.255815905719428
54,multi_F9_55,0,0,1,11089.336970605067,1,11221.082095588374,1,11029.343972993522,F,9,F9,3.4037700257051693,0.39252230997401105,0.6003129469190209,2.263774413105906,3.0331433010557296
55,multi_G3_56,1,194.18164766097215,1,198.14053063645784,1,194.69169101195874,1,193.38803441563505,G,3,G3,1.312172216327396,3.2058728157392347,0.04139167230387386,3.461543916698152,2.020411051235217
56,multi_D8_57,0,0,0,0,1,4726.376721928668,1,4609.514762540184,D,8,D8,3.7240583391555697,0.018151313790508664,0.4479433119103914,2.4306004738770457,3.8271898731768745
57,multi_B7_58,1,3883.7245943220832,0,0,1,3889.0597447084597,1,3970.0885866331264,B,7,B7,1.331475831976105,0.6493373594611435,0.2945923715685004,3.6652773554483016,4.35390945311445
58,multi_B3_59,1,251.10961545099465,1,242.46549681773837,0,0,0,0,B,3,B3,3.423243357363736,3.348771520507062,0.8220335523585197,3.084402931845861,0.14358219028334138
