,file_name,sine_wave,sine_freq,square_wave,square_freq,saw_wave,saw_freq,triangle_wave,triangle_freq,note,octave,note_octave,attack_duration,decay_duration,sustain_level,sustain_duration,release_duration
0,multi_E2_1501,0,0,1,83.7699926302072,1,80.98065056665315,1,83.04003552645747,E,2,E2,0.33801091075684575,1.9588580277008267,0.6775746513576559,1.7097482473566332,2.55570371958963
1,multi_C♯6_1502,1,1122.9716438208538,1,1105.4160137715844,1,1117.6879678467499,1,1090.4604637608018,C♯,6,C♯6,2.4252147925347263,3.9688962906231926,0.8567597172231325,1.205305902434016,2.400583014408066
2,multi_F2_1503,0,0,1,85.79367872982165,0,0,0,0,F,2,F2,0.2986462105595916,0.4309218895477229,0.5486509612287033,1.8428803363743302,3.700704407568407
3,multi_G1_1504,0,0,1,49.77088514364514,0,0,0,0,G,1,G1,1.2729572209961408,3.9267007258206474,0.5485648405971917,2.7512347852018886,2.049107267981324
4,multi_C6_1505,1,1066.3347145960727,1,1050.9865233257487,1,1055.498287568854,1,1043.3272968508916,C,6,C6,2.6461001568239677,1.1239879010317475,0.9794143515167575,1.8978121778943218,4.332099764249964
5,multi_G♯1_1506,1,52.74374043466248,1,52.45386938829794,1,51.698275813254185,0,0,G♯,1,G♯1,1.5743143458518027,2.2354238741098325,0.8270128781904403,3.7816828891269285,0.7842206708427635
6,multi_G7_1507,1,3131.6741889776217,1,3196.738500984349,1,3177.2816264745184,1,3156.379987717802,G,7,G7,1.070553087481031,2.6651470961636607,0.19540461340175252,1.3128280916458268,4.1022841695125605
7,multi_A6_1508,1,1746.5930984213228,0,0,0,0,1,1782.0185984253253,A,6,A6,2.4847201842166053,1.1537095688785994,0.7540632512578491,4.594391127402361,1.7671791195024336
8,multi_C♯7_1509,1,2250.5689510116117,0,0,1,2236.574840255996,1,2196.7882892285634,C♯,7,C♯7,0.40487200233182863,4.024064760452072,0.2058599238134562,0.4730047263350162,1.920535924218758
9,multi_D♯9_1510,1,9968.221635439351,0,0,1,10050.890476801724,1,10060.709682352453,D♯,9,D♯9,0.8543170283965684,0.6264598732936127,0.7334652532533039,1.7563295389174938,0.14186309462595248
10,multi_G♯5_1511,1,816.1757506100976,0,0,1,822.188394289087,1,843.9463181065402,G♯,5,G♯5,0.9875519625238477,3.6605610995982225,0.9322539433526661,0.6325517059262115,0.2930457420226007
11,multi_C♯6_1512,1,1099.7673581643244,0,0,1,1108.956800294894,0,0,C♯,6,C♯6,0.8275612030396562,1.4225393242632722,0.34260750685466956,0.9074176563302194,4.840749416262583
12,multi_D♯7_1513,1,2469.820332700281,0,0,1,2497.2230058456853,1,2471.640280066583,D♯,7,D♯7,2.008247924989269,0.3830809283490294,0.34572703232033364,3.1637017898352586,1.6464346486692616
13,multi_F♯8_1514,1,5844.1442546238295,1,5956.834415688504,0,0,0,0,F♯,8,F♯8,3.7594587709925236,2.3074474620207925,0.9040519673934101,2.344995441130068,1.5880983258566166
14,multi_C7_1515,1,2113.059541814647,1,2065.802325849192,1,2088.608512365875,1,2059.9062652793536,C,7,C7,3.4746958223593856,2.7294126177319056,0.3253440233730689,0.6395733538305859,1.49892020930952
15,multi_G3_1516,1,197.65202762124702,1,192.65453585650977,1,196.6733722436479,1,196.00413063260748,G,3,G3,2.445593581018051,3.006890771588499,0.8551369377246073,0.8096578998650207,3.737857747528429
16,multi_F6_1517,1,1380.7220972303594,0,0,0,0,0,0,F,6,F6,1.7924682931888984,3.142950768273195,0.8458097600638094,2.180160151836532,0.28385693102799925
17,multi_B1_1518,1,61.49958034843398,0,0,1,61.86013514520252,0,0,B,1,B1,1.3909066367242233,1.7586764985946275,0.8681963142261888,3.946757506453537,2.903659358227612
18,multi_F♯5_1519,1,749.2137789188259,0,0,0,0,1,726.2626963522803,F♯,5,F♯5,1.0878703300229098,1.4686526501540187,0.47911889537581875,1.1570977108981795,0.28138259413717115
19,multi_F1_1520,1,44.346738481126245,1,43.76263691674765,1,43.668052849753344,1,44.486967660552324,F,1,F1,2.2337493205521533,0.03124876812305999,0.3106501945702673,2.415277194340961,4.355786622772092
