,file_name,wave,note,octave,note_octave,freq,attack_duration,decay_duration,sustain_level,release_duration
0,sine_ads_G♯3_1.wav,sine,G♯,3,G♯3,207.65234878997256,0.64,5.0,0.6086956521739131,2
1,sine_ads_G6_2.wav,sine,G,6,G6,1567.981743926997,1.4,1.75,0.8260869565217391,2
2,sine_ads_B5_3.wav,sine,B,5,B5,987.7666025122483,0.66,9.166666666666666,0.782608695652174,2
3,sine_ads_F6_4.wav,sine,F,6,F6,1396.9129257320155,0.45,2.7777777777777777,0.6521739130434783,2
4,sine_ads_D♯4_5.wav,sine,D♯,4,D♯4,311.1269837220809,0.6,0.75,0.6521739130434783,2
5,sine_ads_B4_6.wav,sine,B,4,B4,493.8833012561241,1.32,4.583333333333333,0.8260869565217391,2
6,sine_ads_D♯6_7.wav,sine,D♯,6,D♯6,1244.5079348883237,0.3,1.5,0.43478260869565216,2
7,sine_ads_C♯6_8.wav,sine,C♯,6,C♯6,1108.7305239074883,0.06,0.8333333333333333,0.34782608695652173,2
8,sine_ads_G♯3_9.wav,sine,G♯,3,G♯3,207.65234878997256,0.96,3.333333333333333,0.6956521739130435,2
9,sq_ads_A3_1.wav,sq,A,3,A3,220.0,1.62,2.5,0.8695652173913043,2
10,sq_ads_A4_2.wav,sq,A,4,A4,440.0,0.27,15.0,0.5652173913043478,2
11,sq_ads_A♯2_3.wav,sq,A♯,2,A♯2,116.54094037952248,0.4,12.5,0.6086956521739131,2
12,sq_ads_A5_4.wav,sq,A,5,A5,880.0,0.63,6.428571428571429,0.7391304347826086,2
13,sq_ads_F4_5.wav,sq,F,4,F4,349.2282314330039,0.15,8.333333333333334,0.391304347826087,2
14,sq_ads_E3_6.wav,sq,E,3,E3,164.81377845643496,0.16,5.0,0.34782608695652173,2
15,sq_ads_F♯3_7.wav,sq,F♯,3,F♯3,184.9972113558172,0.48,3.75,0.6521739130434783,2
16,sq_ads_D5_8.wav,sq,D,5,D5,587.3295358348151,0.16,1.25,0.4782608695652174,2
17,sq_ads_A♯5_9.wav,sq,A♯,5,A♯5,932.3275230361799,0.9,5.555555555555555,0.8695652173913043,2
18,tri_ads_D♯4_1.wav,tri,D♯,4,D♯4,311.1269837220809,0.3,1.5,0.6086956521739131,2
19,tri_ads_A♯2_2.wav,tri,A♯,2,A♯2,116.54094037952248,1.4,3.5714285714285716,0.8260869565217391,2
20,tri_ads_C♯2_3.wav,tri,C♯,2,C♯2,69.29565774421802,0.1,0.5,0.5217391304347826,2
21,tri_ads_C4_4.wav,tri,C,4,C4,261.6255653005986,0.0,0.0,0.391304347826087,2
22,tri_ads_D♯5_5.wav,tri,D♯,5,D♯5,622.2539674441618,0.06,7.5,0.2608695652173913,2
23,tri_ads_D♯6_6.wav,tri,D♯,6,D♯6,1244.5079348883237,0.09,5.0,0.30434782608695654,2
24,tri_ads_C5_7.wav,tri,C,5,C5,523.2511306011972,0.0,0.0,0.17391304347826086,2
25,tri_ads_D2_8.wav,tri,D,2,D2,73.41619197935188,0.4,0.5,0.6086956521739131,2
26,tri_ads_B4_9.wav,tri,B,4,B4,493.8833012561241,1.1,5.5,0.9565217391304348,2
27,saw_ads_A♯3_1.wav,saw,A♯,3,A♯3,233.08188075904496,0.5,10.0,0.6956521739130435,2
28,saw_ads_D4_2.wav,saw,D,4,D4,293.6647679174076,0.4,0.5,0.6086956521739131,2
29,saw_ads_E4_3.wav,saw,E,4,E4,329.6275569128699,0.24,3.333333333333333,0.4782608695652174,2
30,saw_ads_E2_4.wav,saw,E,2,E2,82.4068892282175,0.24,3.333333333333333,0.391304347826087,2
31,saw_ads_E3_5.wav,saw,E,3,E3,164.81377845643496,0.16,5.0,0.391304347826087,2
32,saw_ads_G♯2_6.wav,saw,G♯,2,G♯2,103.82617439498628,0.48,6.666666666666666,0.6521739130434783,2
33,saw_ads_C♯5_7.wav,saw,C♯,5,C♯5,554.3652619537442,0.09,0.5555555555555556,0.4782608695652174,2
34,saw_ads_D4_8.wav,saw,D,4,D4,293.6647679174076,0.1,2.0,0.34782608695652173,2
35,saw_ads_B4_9.wav,saw,B,4,B4,493.8833012561241,0.99,6.111111111111112,0.9130434782608695,2
